,National №,Type,Species,Height,Weight,Abilities,Local №
Carbink,703,Rock Fairy,Jewel Pokémon,0.3 m (1′00″),5.7 kg (12.6 lbs),Clear Body Sturdy,124  101  123 
Goomy,704,Dragon,Soft Tissue Pokémon,0.3 m (1′00″),2.8 kg (6.2 lbs),Sap Sipper Hydration Gooey,019  178  217  389 
Sliggoo,705,Dragon,Soft Tissue Pokémon,0.8 m (2′07″),17.5 kg (38.6 lbs),Sap Sipper Hydration Gooey,020  179  218  390 
Goodra,706,Dragon,Dragon Pokémon,2.0 m (6′07″),150.5 kg (331.8 lbs),Sap Sipper Hydration Gooey,021  180  219  391 
Klefki,707,Steel Fairy,Key Ring Pokémon,0.2 m (0′08″),3.0 kg (6.6 lbs),Prankster Magician,050  241  314 
Phantump,708,Ghost Grass,Stump Pokémon,0.4 m (1′04″),7.0 kg (15.4 lbs),Natural Cure Frisk Harvest,061  196  250  338 
Trevenant,709,Ghost Grass,Elder Tree Pokémon,1.5 m (4′11″),71.0 kg (156.5 lbs),Natural Cure Frisk Harvest,062  197  251  339 
Pumpkaboo,710,Ghost Grass Ghost Grass Ghost Grass Ghost Grass,Pumpkin Pokémon,0.4 m (1′04″) 0.3 m (1′00″) 0.5 m (1′08″) 0.8 m (2′07″),5.0 kg (11.0 lbs) 3.5 kg (7.7 lbs) 7.5 kg (16.5 lbs) 15.0 kg (33.1 lbs),Pickup Frisk Insomnia Pickup Frisk Insomnia Pickup Frisk Insomnia Pickup Frisk Insomnia,063  191  063  191  063  191  063  191 
Gourgeist,711,Ghost Grass Ghost Grass Ghost Grass Ghost Grass,Pumpkin Pokémon,0.9 m (2′11″) 0.7 m (2′04″) 1.1 m (3′07″) 1.7 m (5′07″),12.5 kg (27.6 lbs) 9.5 kg (20.9 lbs) 14.0 kg (30.9 lbs) 39.0 kg (86.0 lbs),Pickup Frisk Insomnia Pickup Frisk Insomnia Pickup Frisk Insomnia Pickup Frisk Insomnia,064  192  064  192  064  192  064  192 
Bergmite,712,Ice,Ice Chunk Pokémon,1.0 m (3′03″),99.5 kg (219.4 lbs),Own Tempo Ice Body Sturdy,079  358 
Avalugg,713,Ice,Iceberg Pokémon,2.0 m (6′07″),505.0 kg (1113.3 lbs),Own Tempo Ice Body Sturdy,080  359 
Noibat,714,Flying Dragon,Sound Wave Pokémon,0.5 m (1′08″),8.0 kg (17.6 lbs),Frisk Infiltrator Telepathy,113  083  176 
Noivern,715,Flying Dragon,Sound Wave Pokémon,1.5 m (4′11″),85.0 kg (187.4 lbs),Frisk Infiltrator Telepathy,114  084  177 
Xerneas,716,Fairy,Life Pokémon,3.0 m (9′10″),215.0 kg (474.0 lbs),Fairy Aura,148 
Yveltal,717,Dark Flying,Destruction Pokémon,5.8 m (19′00″),203.0 kg (447.5 lbs),Dark Aura,149 
Zygarde,718,Dragon Ground Dragon Ground Dragon Ground,Order Pokémon,5.0 m (16′05″) 1.2 m (3′11″) 4.5 m (14′09″),305.0 kg (672.4 lbs) 33.5 kg (73.9 lbs) 610.0 kg (1344.8 lbs),Aura Break Power Construct Aura Break Power Construct Power Construct,150  205  263  150  205  263  150  205  263 
Diancie,719,Rock Fairy Rock Fairy,Jewel Pokémon,0.7 m (2′04″) 1.1 m (3′07″),8.8 kg (19.4 lbs) 27.8 kg (61.3 lbs),Clear Body Magic Bounce,151 
Hoopa,720,Psychic Ghost Psychic Dark,Mischief Pokémon Djinn Pokémon,0.5 m (1′08″) 6.5 m (21′04″),9.0 kg (19.8 lbs) 490.0 kg (1080.3 lbs),Magician,152 
Volcanion,721,Fire Water,Steam Pokémon,1.7 m (5′07″),195.0 kg (429.9 lbs),Water Absorb,153 
Rowlet,722,Grass Flying,Grass Quill Pokémon,0.3 m (1′00″),1.5 kg (3.3 lbs),Overgrow Long Reach,001 
Dartrix,723,Grass Flying,Blade Quill Pokémon,0.7 m (2′04″),16.0 kg (35.3 lbs),Overgrow Long Reach,002 
Decidueye,724,Grass Ghost,Arrow Quill Pokémon,1.6 m (5′03″),36.6 kg (80.7 lbs),Overgrow Long Reach,003 
Litten,725,Fire,Fire Cat Pokémon,0.4 m (1′04″),4.3 kg (9.5 lbs),Blaze Intimidate,004 
Torracat,726,Fire,Fire Cat Pokémon,0.7 m (2′04″),25.0 kg (55.1 lbs),Blaze Intimidate,005 
Incineroar,727,Fire Dark,Heel Pokémon,1.8 m (5′11″),83.0 kg (183.0 lbs),Blaze Intimidate,006 
Popplio,728,Water,Sea Lion Pokémon,0.4 m (1′04″),7.5 kg (16.5 lbs),Torrent Liquid Voice,007 
Brionne,729,Water,Pop Star Pokémon,0.6 m (2′00″),17.5 kg (38.6 lbs),Torrent Liquid Voice,008 
Primarina,730,Water Fairy,Soloist Pokémon,1.8 m (5′11″),44.0 kg (97.0 lbs),Torrent Liquid Voice,009 
Pikipek,731,Normal Flying,Woodpecker Pokémon,0.3 m (1′00″),1.2 kg (2.6 lbs),Keen Eye Skill Link Pickup,010 
Trumbeak,732,Normal Flying,Bugle Beak Pokémon,0.6 m (2′00″),14.8 kg (32.6 lbs),Keen Eye Skill Link Pickup,011 
Toucannon,733,Normal Flying,Cannon Pokémon,1.1 m (3′07″),26.0 kg (57.3 lbs),Keen Eye Skill Link Sheer Force,012 
Yungoos,734,Normal,Loitering Pokémon,0.4 m (1′04″),6.0 kg (13.2 lbs),Strong Jaw Stakeout Adaptability,013 
Gumshoos,735,Normal,Stakeout Pokémon,0.7 m (2′04″),14.2 kg (31.3 lbs),Strong Jaw Stakeout Adaptability,014 
Grubbin,736,Bug,Larva Pokémon,0.4 m (1′04″),4.4 kg (9.7 lbs),Swarm,027  034  016 
Charjabug,737,Bug Electric,Battery Pokémon,0.5 m (1′08″),10.5 kg (23.1 lbs),Battery,028  035  017 
Vikavolt,738,Bug Electric,Stag Beetle Pokémon,1.5 m (4′11″),45.0 kg (99.2 lbs),Levitate,029  036  018 
Crabrawler,739,Fighting,Boxing Pokémon,0.6 m (2′00″),7.0 kg (15.4 lbs),Hyper Cutter Iron Fist Anger Point,059  071 
Crabominable,740,Fighting Ice,Woolly Crab Pokémon,1.7 m (5′07″),180.0 kg (396.8 lbs),Hyper Cutter Iron Fist Anger Point,060  072 
Oricorio,741,Fire Flying Electric Flying Psychic Flying Ghost Flying,Dancing Pokémon,0.6 m (2′00″),3.4 kg (7.5 lbs),Dancer,082  097  082  097  082  097  082  097 
Cutiefly,742,Bug Fairy,Bee Fly Pokémon,0.1 m (0′04″),0.2 kg (0.4 lbs),Honey Gather Shield Dust Sweet Veil,083  098  187 
Ribombee,743,Bug Fairy,Bee Fly Pokémon,0.2 m (0′08″),0.5 kg (1.1 lbs),Honey Gather Shield Dust Sweet Veil,084  099  188 
Rockruff,744,Rock,Puppy Pokémon,0.5 m (1′08″),9.2 kg (20.3 lbs),Keen Eye Vital Spirit Steadfast Own Tempo,103  126  103  126 
Lycanroc,745,Rock,Wolf Pokémon,0.8 m (2′07″) 1.1 m (3′07″) 0.8 m (2′07″),25.0 kg (55.1 lbs),Keen Eye Sand Rush Steadfast Keen Eye Vital Spirit No Guard Tough Claws,104  127  104  127  104  127 
Wishiwashi,746,Water,Small Fry Pokémon,0.2 m (0′08″) 8.2 m (26′11″),0.3 kg (0.7 lbs) 78.6 kg (173.3 lbs),Schooling,110  133  155  110  133  155 
Mareanie,747,Poison Water,Brutal Star Pokémon,0.4 m (1′04″),8.0 kg (17.6 lbs),Merciless Limber Regenerator,113  136  307 
Toxapex,748,Poison Water,Brutal Star Pokémon,0.7 m (2′04″),14.5 kg (32.0 lbs),Merciless Limber Regenerator,114  137  308 
Mudbray,749,Ground,Donkey Pokémon,1.0 m (3′03″),110.0 kg (242.5 lbs),Own Tempo Stamina Inner Focus,132  165  084 
Mudsdale,750,Ground,Draft Horse Pokémon,2.5 m (8′02″),920.0 kg (2028.3 lbs),Own Tempo Stamina Inner Focus,133  166  085 
Dewpider,751,Water Bug,Water Bubble Pokémon,0.3 m (1′00″),4.0 kg (8.8 lbs),Water Bubble Water Absorb,141  174  214 
Araquanid,752,Water Bug,Water Bubble Pokémon,1.8 m (5′11″),82.0 kg (180.8 lbs),Water Bubble Water Absorb,142  175  215 
Fomantis,753,Grass,Sickle Grass Pokémon,0.3 m (1′00″),1.5 kg (3.3 lbs),Leaf Guard Contrary,143  176 
Lurantis,754,Grass,Bloom Sickle Pokémon,0.9 m (2′11″),18.5 kg (40.8 lbs),Leaf Guard Contrary,144  177 
Morelull,755,Grass Fairy,Illuminating Pokémon,0.2 m (0′08″),1.5 kg (3.3 lbs),Illuminate Effect Spore Rain Dish,145  178  340 
Shiinotic,756,Grass Fairy,Illuminating Pokémon,1.0 m (3′03″),11.5 kg (25.4 lbs),Illuminate Effect Spore Rain Dish,146  179  341 
Salandit,757,Poison Fire,Toxic Lizard Pokémon,0.6 m (2′00″),4.8 kg (10.6 lbs),Corrosion Oblivious,161  195  244 
Salazzle,758,Poison Fire,Toxic Lizard Pokémon,1.2 m (3′11″),22.2 kg (48.9 lbs),Corrosion Oblivious,162  196  245 
Stufful,759,Normal Fighting,Flailing Pokémon,0.5 m (1′08″),6.8 kg (15.0 lbs),Fluffy Klutz Cute Charm,169  205  094 
Bewear,760,Normal Fighting,Strong Arm Pokémon,2.1 m (6′11″),135.0 kg (297.6 lbs),Fluffy Klutz Unnerve,170  206  095 
Bounsweet,761,Grass,Fruit Pokémon,0.3 m (1′00″),3.2 kg (7.1 lbs),Leaf Guard Oblivious Sweet Veil,171  207  052 
Steenee,762,Grass,Fruit Pokémon,0.7 m (2′04″),8.2 kg (18.1 lbs),Leaf Guard Oblivious Sweet Veil,172  208  053 
Tsareena,763,Grass,Fruit Pokémon,1.2 m (3′11″),21.4 kg (47.2 lbs),Leaf Guard Queenly Majesty Sweet Veil,173  209  054 
Comfey,764,Fairy,Posy Picker Pokémon,0.1 m (0′04″),0.3 kg (0.7 lbs),Flower Veil Triage Natural Cure,174  210 
Oranguru,765,Normal Psychic,Sage Pokémon,1.5 m (4′11″),76.0 kg (167.6 lbs),Inner Focus Telepathy Symbiosis,176  215  342 
Passimian,766,Fighting,Teamwork Pokémon,2.0 m (6′07″),82.8 kg (182.5 lbs),Receiver Defiant,177  216  343 
Wimpod,767,Bug Water,Turn Tail Pokémon,0.5 m (1′08″),12.0 kg (26.5 lbs),Wimp Out,182  221  232 
Golisopod,768,Bug Water,Hard Scale Pokémon,2.0 m (6′07″),108.0 kg (238.1 lbs),Emergency Exit,183  222  233 
Sandygast,769,Ghost Ground,Sand Heap Pokémon,0.5 m (1′08″),70.0 kg (154.3 lbs),Water Compaction Sand Veil,186  225 
Palossand,770,Ghost Ground,Sand Castle Pokémon,1.3 m (4′03″),250.0 kg (551.2 lbs),Water Compaction Sand Veil,187  226 
Pyukumuku,771,Water,Sea Cucumber Pokémon,0.3 m (1′00″),1.2 kg (2.6 lbs),Innards Out Unaware,200  256  156 
Type: Null,772,Normal,Synthetic Pokémon,1.9 m (6′03″),120.5 kg (265.7 lbs),Battle Armor,203  259  381 
Silvally,773,Normal,Synthetic Pokémon,2.3 m (7′07″),100.5 kg (221.6 lbs),RKS System,204  260  382 
Minior,774,Rock Flying Rock Flying,Meteor Pokémon,0.3 m (1′00″),40.0 kg (88.2 lbs) 0.3 kg (0.7 lbs),Shields Down,213  277  213  277 
Komala,775,Normal,Drowsing Pokémon,0.4 m (1′04″),19.9 kg (43.9 lbs),Comatose,222  286 
Turtonator,776,Fire Dragon,Blast Turtle Pokémon,2.0 m (6′07″),212.0 kg (467.4 lbs),Shell Armor,224  288  347 
Togedemaru,777,Electric Steel,Roly-Poly Pokémon,0.3 m (1′00″),3.3 kg (7.3 lbs),Iron Barbs Lightning Rod Sturdy,225  292  348 
Mimikyu,778,Ghost Fairy,Disguise Pokémon,0.2 m (0′08″),0.7 kg (1.5 lbs),Disguise,242  315  301 
Bruxish,779,Water Psychic,Gnash Teeth Pokémon,0.9 m (2′11″),19.0 kg (41.9 lbs),Dazzling Strong Jaw Wonder Skin,243  320 
Drampa,780,Normal Dragon,Placid Pokémon,3.0 m (9′10″),185.0 kg (407.9 lbs),Berserk Sap Sipper Cloud Nine,244  321  346 
Dhelmise,781,Ghost Grass,Sea Creeper Pokémon,3.9 m (12′10″),210.0 kg (463.0 lbs),Steelworker,263  344  360 
Jangmo-o,782,Dragon,Scaly Pokémon,0.6 m (2′00″),29.7 kg (65.5 lbs),Bulletproof Soundproof Overcoat,271  361  392 
Hakamo-o,783,Dragon Fighting,Scaly Pokémon,1.2 m (3′11″),47.0 kg (103.6 lbs),Bulletproof Soundproof Overcoat,272  362  393 
Kommo-o,784,Dragon Fighting,Scaly Pokémon,1.6 m (5′03″),78.2 kg (172.4 lbs),Bulletproof Soundproof Overcoat,273  363  394 
Tapu Koko,785,Electric Fairy,Land Spirit Pokémon,1.8 m (5′11″),20.5 kg (45.2 lbs),Electric Surge Telepathy,285  383 
Tapu Lele,786,Psychic Fairy,Land Spirit Pokémon,1.2 m (3′11″),18.6 kg (41.0 lbs),Psychic Surge Telepathy,286  384 
Tapu Bulu,787,Grass Fairy,Land Spirit Pokémon,1.9 m (6′03″),45.5 kg (100.3 lbs),Grassy Surge Telepathy,287  385 
Tapu Fini,788,Water Fairy,Land Spirit Pokémon,1.3 m (4′03″),21.2 kg (46.7 lbs),Misty Surge Telepathy,288  386 
Cosmog,789,Psychic,Nebula Pokémon,0.2 m (0′08″),0.1 kg (0.2 lbs),Unaware,289  387 
Cosmoem,790,Psychic,Protostar Pokémon,0.1 m (0′04″),999.9 kg (2204.4 lbs),Sturdy,290  388 
Solgaleo,791,Psychic Steel,Sunne Pokémon,3.4 m (11′02″),230.0 kg (507.1 lbs),Full Metal Body,291  389 
Lunala,792,Psychic Ghost,Moone Pokémon,4.0 m (13′01″),120.0 kg (264.6 lbs),Shadow Shield,292  390 
Nihilego,793,Rock Poison,Parasite Pokémon,1.2 m (3′11″),55.5 kg (122.4 lbs),Beast Boost,293  393 
Buzzwole,794,Bug Fighting,Swollen Pokémon,2.4 m (7′10″),333.6 kg (735.5 lbs),Beast Boost,294  394 
Pheromosa,795,Bug Fighting,Lissome Pokémon,1.8 m (5′11″),25.0 kg (55.1 lbs),Beast Boost,295  395 
Xurkitree,796,Electric,Glowing Pokémon,3.8 m (12′06″),100.0 kg (220.5 lbs),Beast Boost,296  396 
Celesteela,797,Steel Flying,Launch Pokémon,9.2 m (30′02″),999.9 kg (2204.4 lbs),Beast Boost,297  397 
Kartana,798,Grass Steel,Drawn Sword Pokémon,0.3 m (1′00″),0.1 kg (0.2 lbs),Beast Boost,298  398 
Guzzlord,799,Dark Dragon,Junkivore Pokémon,5.5 m (18′01″),888.0 kg (1957.7 lbs),Beast Boost,299  399 
Necrozma,800,Psychic,Prism Pokémon,2.4 m (7′10″) 3.8 m (12′06″) 4.2 m (13′09″) 7.5 m (24′07″),230.0 kg (507.1 lbs) 460.0 kg (1014.1 lbs) 350.0 kg (771.6 lbs) 230.0 kg (507.1 lbs),Prism Armor,300  400  300  400  300  400  300  400 
Magearna,801,Steel Fairy,Artificial Pokémon,1.0 m (3′03″),80.5 kg (177.5 lbs),Soul-Heart,301  401 
Marshadow,802,Fighting Ghost,Gloomdweller Pokémon,0.7 m (2′04″),22.2 kg (48.9 lbs),Technician,302  402 
Poipole,803,Poison,Poison Pin Pokémon,0.6 m (2′00″),1.8 kg (4.0 lbs),Beast Boost,261 
Naganadel,804,Poison Dragon,Poison Pin Pokémon,3.6 m (11′10″),150.0 kg (330.7 lbs),Beast Boost,262 
Stakataka,805,Rock Steel,Rampart Pokémon,5.5 m (18′01″),820.0 kg (1807.8 lbs),Beast Boost,391 
Blacephalon,806,Fire Ghost,Fireworks Pokémon,1.8 m (5′11″),13.0 kg (28.7 lbs),Beast Boost,392 
Zeraora,807,Electric,Thunderclap Pokémon,1.5 m (4′11″),44.5 kg (98.1 lbs),Volt Absorb,403 
Meltan,808,Steel,Hex Nut Pokémon,0.2 m (0′08″),8.0 kg (17.6 lbs),Magnet Pull,152 
Melmetal,809,Steel,Hex Nut Pokémon,2.5 m (8′02″),800.0 kg (1763.7 lbs),Iron Fist,153 
